date,day,hours,odds_a,odds_b,odds_draw,score_a,score_b,season,team_a,team_b
2019-11-10 14:00:00,Sunday,14:00,2.08,3.83,3.29,3,1,2019/2020,Rennes,Amiens
2019-11-09 19:00:00,Saturday,19:00,1.54,7.27,3.89,0,0,2019/2020,Lille,Metz
2019-11-09 19:00:00,Saturday,19:00,1.42,7.32,4.86,1,0,2019/2020,Monaco,Dijon
2019-11-09 19:00:00,Saturday,19:00,2.63,3.07,2.97,0,0,2019/2020,Reims,Angers
2019-11-09 19:00:00,Saturday,19:00,1.83,4.83,3.44,4,1,2019/2020,Strasbourg,Nimes
2019-11-09 16:30:00,Saturday,16:30,11.44,1.25,6.49,1,2,2019/2020,Brest,Paris SG
2019-11-08 19:45:00,Friday,19:45,2.15,3.82,3.13,1,1,2019/2020,Nice,Bordeaux
2019-11-03 20:00:00,Sunday,20:00,3.04,2.35,3.44,1,0,2019/2020,St Etienne,Monaco
2019-11-03 16:00:00,Sunday,16:00,2.86,2.76,2.99,2,0,2019/2020,Nice,Reims
2019-11-03 14:00:00,Sunday,14:00,2.52,3.29,2.89,2,0,2019/2020,Bordeaux,Nantes
2019-11-02 19:00:00,Saturday,19:00,1.61,5.98,3.89,1,0,2019/2020,Amiens,Brest
2019-11-02 19:00:00,Saturday,19:00,2.16,3.88,3.09,1,0,2019/2020,Angers,Strasbourg
2019-11-02 19:00:00,Saturday,19:00,3.24,2.51,2.98,2,2,2019/2020,Metz,Montpellier
2019-11-02 19:00:00,Saturday,19:00,4.76,1.72,3.94,2,3,2019/2020,Toulouse,Lyon
2019-11-02 16:30:00,Saturday,16:30,2.09,3.90,3.26,2,1,2019/2020,Marseille,Lille
2019-11-01 19:45:00,Friday,19:45,11.83,1.23,6.58,2,1,2019/2020,Dijon,Paris SG
2019-10-27 20:00:00,Sunday,20:00,1.20,13.07,7.39,4,0,2019/2020,Paris SG,Marseille
2019-10-27 16:00:00,Sunday,16:00,2.28,3.39,3.21,2,2,2019/2020,St Etienne,Amiens
2019-10-27 14:00:00,Sunday,14:00,1.85,4.46,3.57,3,2,2019/2020,Rennes,Toulouse
2019-10-26 19:00:00,Saturday,19:00,2.36,3.19,3.27,2,0,2019/2020,Brest,Dijon
2019-10-26 19:00:00,Saturday,19:00,1.43,7.80,4.52,2,0,2019/2020,Lyon,Metz
2019-10-26 19:00:00,Saturday,19:00,2.22,3.58,3.17,0,0,2019/2020,Montpellier,Angers
2019-10-26 19:00:00,Saturday,19:00,1.65,5.97,3.67,0,0,2019/2020,Reims,Nimes
2019-10-26 19:00:00,Saturday,19:00,1.91,4.56,3.33,1,0,2019/2020,Strasbourg,Nice
2019-10-26 16:30:00,Saturday,16:30,1.89,4.44,3.43,3,0,2019/2020,Lille,Bordeaux
2019-10-25 19:45:00,Friday,19:45,3.03,2.41,3.33,0,1,2019/2020,Nantes,Monaco
2019-10-20 20:00:00,Sunday,20:00,1.80,4.96,3.47,2,0,2019/2020,Marseille,Strasbourg
2019-10-20 16:00:00,Sunday,16:00,1.70,4.97,3.93,3,2,2019/2020,Monaco,Rennes
2019-10-20 14:00:00,Sunday,14:00,2.46,3.16,3.09,0,1,2019/2020,Bordeaux,St Etienne
2019-10-19 19:00:00,Saturday,19:00,1.62,6.20,3.77,0,1,2019/2020,Angers,Brest
2019-10-19 19:00:00,Saturday,19:00,2.49,3.17,3.06,1,0,2019/2020,Metz,Nantes
2019-10-19 19:00:00,Saturday,19:00,2.29,3.24,3.33,1,1,2019/2020,Nimes,Amiens
2019-10-19 19:00:00,Saturday,19:00,2.26,3.82,2.92,1,0,2019/2020,Reims,Montpellier
2019-10-19 19:00:00,Saturday,19:00,3.33,2.28,3.27,2,1,2019/2020,Toulouse,Lille
2019-10-19 16:30:00,Saturday,16:30,1.38,8.12,5.06,0,0,2019/2020,Lyon,Dijon
2019-10-18 19:45:00,Friday,19:45,8.74,1.37,4.97,1,4,2019/2020,Nice,Paris SG
2019-10-06 20:00:00,Sunday,20:00,4.05,1.96,3.48,1,0,2019/2020,St Etienne,Lyon
2019-10-06 16:00:00,Sunday,16:00,2.45,3.26,3.05,0,1,2019/2020,Rennes,Reims
2019-10-06 14:00:00,Sunday,14:00,1.60,6.13,3.89,2,2,2019/2020,Lille,Nimes
