date,day,hours,odds_a,odds_b,odds_draw,score_a,score_b,season,team_a,team_b,outcome_effectif,min_odds,max_odds,good_pred,worst_pred,draw_pred
2019-11-10 14:00:00,Sunday,14:00,2.08,3.83,3.29,3,1,2019/2020,Rennes,Amiens,HOME,HOME,AWAY,1,0,0
2019-11-09 19:00:00,Saturday,19:00,1.54,7.27,3.89,0,0,2019/2020,Lille,Metz,DRAW,HOME,AWAY,0,0,1
2019-11-09 19:00:00,Saturday,19:00,1.42,7.32,4.86,1,0,2019/2020,Monaco,Dijon,HOME,HOME,AWAY,1,0,0
2019-11-09 19:00:00,Saturday,19:00,2.63,3.07,2.97,0,0,2019/2020,Reims,Angers,DRAW,HOME,AWAY,0,0,1
2019-11-09 19:00:00,Saturday,19:00,1.83,4.83,3.44,4,1,2019/2020,Strasbourg,Nimes,HOME,HOME,AWAY,1,0,0
2019-11-09 16:30:00,Saturday,16:30,11.44,1.25,6.49,1,2,2019/2020,Brest,Paris SG,AWAY,AWAY,HOME,1,0,0
2019-11-08 19:45:00,Friday,19:45,2.15,3.82,3.13,1,1,2019/2020,Nice,Bordeaux,DRAW,HOME,AWAY,0,0,1
2019-11-03 20:00:00,Sunday,20:00,3.04,2.35,3.44,1,0,2019/2020,St Etienne,Monaco,HOME,AWAY,DRAW,0,0,1
2019-11-03 16:00:00,Sunday,16:00,2.86,2.76,2.99,2,0,2019/2020,Nice,Reims,HOME,AWAY,DRAW,0,0,1
2019-11-03 14:00:00,Sunday,14:00,2.52,3.29,2.89,2,0,2019/2020,Bordeaux,Nantes,HOME,HOME,AWAY,1,0,0
2019-11-02 19:00:00,Saturday,19:00,1.61,5.98,3.89,1,0,2019/2020,Amiens,Brest,HOME,HOME,AWAY,1,0,0
2019-11-02 19:00:00,Saturday,19:00,2.16,3.88,3.09,1,0,2019/2020,Angers,Strasbourg,HOME,HOME,AWAY,1,0,0
2019-11-02 19:00:00,Saturday,19:00,3.24,2.51,2.98,2,2,2019/2020,Metz,Montpellier,DRAW,AWAY,HOME,0,0,1
2019-11-02 19:00:00,Saturday,19:00,4.76,1.72,3.94,2,3,2019/2020,Toulouse,Lyon,AWAY,AWAY,HOME,1,0,0
2019-11-02 16:30:00,Saturday,16:30,2.09,3.9,3.26,2,1,2019/2020,Marseille,Lille,HOME,HOME,AWAY,1,0,0
2019-11-01 19:45:00,Friday,19:45,11.83,1.23,6.58,2,1,2019/2020,Dijon,Paris SG,HOME,AWAY,HOME,0,1,0
2019-10-27 20:00:00,Sunday,20:00,1.2,13.07,7.39,4,0,2019/2020,Paris SG,Marseille,HOME,HOME,AWAY,1,0,0
2019-10-27 16:00:00,Sunday,16:00,2.28,3.39,3.21,2,2,2019/2020,St Etienne,Amiens,DRAW,HOME,AWAY,0,0,1
2019-10-27 14:00:00,Sunday,14:00,1.85,4.46,3.57,3,2,2019/2020,Rennes,Toulouse,HOME,HOME,AWAY,1,0,0
2019-10-26 19:00:00,Saturday,19:00,2.36,3.19,3.27,2,0,2019/2020,Brest,Dijon,HOME,HOME,DRAW,1,0,0
2019-10-26 19:00:00,Saturday,19:00,1.43,7.8,4.52,2,0,2019/2020,Lyon,Metz,HOME,HOME,AWAY,1,0,0
2019-10-26 19:00:00,Saturday,19:00,2.22,3.58,3.17,0,0,2019/2020,Montpellier,Angers,DRAW,HOME,AWAY,0,0,1
2019-10-26 19:00:00,Saturday,19:00,1.65,5.97,3.67,0,0,2019/2020,Reims,Nimes,DRAW,HOME,AWAY,0,0,1
2019-10-26 19:00:00,Saturday,19:00,1.91,4.56,3.33,1,0,2019/2020,Strasbourg,Nice,HOME,HOME,AWAY,1,0,0
2019-10-26 16:30:00,Saturday,16:30,1.89,4.44,3.43,3,0,2019/2020,Lille,Bordeaux,HOME,HOME,AWAY,1,0,0
2019-10-25 19:45:00,Friday,19:45,3.03,2.41,3.33,0,1,2019/2020,Nantes,Monaco,AWAY,AWAY,DRAW,1,0,0
2019-10-20 20:00:00,Sunday,20:00,1.8,4.96,3.47,2,0,2019/2020,Marseille,Strasbourg,HOME,HOME,AWAY,1,0,0
2019-10-20 16:00:00,Sunday,16:00,1.7,4.97,3.93,3,2,2019/2020,Monaco,Rennes,HOME,HOME,AWAY,1,0,0
2019-10-20 14:00:00,Sunday,14:00,2.46,3.16,3.09,0,1,2019/2020,Bordeaux,St Etienne,AWAY,HOME,AWAY,0,1,0
2019-10-19 19:00:00,Saturday,19:00,1.62,6.2,3.77,0,1,2019/2020,Angers,Brest,AWAY,HOME,AWAY,0,1,0
2019-10-19 19:00:00,Saturday,19:00,2.49,3.17,3.06,1,0,2019/2020,Metz,Nantes,HOME,HOME,AWAY,1,0,0
2019-10-19 19:00:00,Saturday,19:00,2.29,3.24,3.33,1,1,2019/2020,Nimes,Amiens,DRAW,HOME,DRAW,0,1,0
2019-10-19 19:00:00,Saturday,19:00,2.26,3.82,2.92,1,0,2019/2020,Reims,Montpellier,HOME,HOME,AWAY,1,0,0
2019-10-19 19:00:00,Saturday,19:00,3.33,2.28,3.27,2,1,2019/2020,Toulouse,Lille,HOME,AWAY,HOME,0,1,0
2019-10-19 16:30:00,Saturday,16:30,1.38,8.12,5.06,0,0,2019/2020,Lyon,Dijon,DRAW,HOME,AWAY,0,0,1
2019-10-18 19:45:00,Friday,19:45,8.74,1.37,4.97,1,4,2019/2020,Nice,Paris SG,AWAY,AWAY,HOME,1,0,0
2019-10-06 20:00:00,Sunday,20:00,4.05,1.96,3.48,1,0,2019/2020,St Etienne,Lyon,HOME,AWAY,HOME,0,1,0
2019-10-06 16:00:00,Sunday,16:00,2.45,3.26,3.05,0,1,2019/2020,Rennes,Reims,AWAY,HOME,AWAY,0,1,0
2019-10-06 14:00:00,Sunday,14:00,1.6,6.13,3.89,2,2,2019/2020,Lille,Nimes,DRAW,HOME,AWAY,0,0,1
2019-10-05 19:00:00,Saturday,19:00,2.62,2.84,3.21,2,0,2019/2020,Brest,Metz,HOME,HOME,DRAW,1,0,0
2019-10-05 19:00:00,Saturday,19:00,3.06,2.66,2.92,1,0,2019/2020,Dijon,Strasbourg,HOME,AWAY,HOME,0,1,0
2019-10-05 19:00:00,Saturday,19:00,3.17,2.31,3.36,3,1,2019/2020,Montpellier,Monaco,HOME,AWAY,DRAW,0,0,1
2019-10-05 19:00:00,Saturday,19:00,2.1,3.81,3.26,1,0,2019/2020,Nantes,Nice,HOME,HOME,AWAY,1,0,0
2019-10-05 19:00:00,Saturday,19:00,2.49,3.12,3.12,1,3,2019/2020,Toulouse,Bordeaux,AWAY,HOME,AWAY,0,1,0
2019-10-05 16:30:00,Saturday,16:30,1.19,14.77,7.48,4,0,2019/2020,Paris SG,Angers,HOME,HOME,AWAY,1,0,0
2019-10-04 19:45:00,Friday,19:45,3.17,2.31,3.38,3,1,2019/2020,Amiens,Marseille,HOME,AWAY,DRAW,0,0,1
2019-09-29 20:00:00,Sunday,20:00,1.99,3.96,3.49,1,1,2019/2020,Marseille,Rennes,DRAW,HOME,AWAY,0,0,1
2019-09-29 16:00:00,Sunday,16:00,2.45,3.03,3.26,0,1,2019/2020,Nimes,St Etienne,AWAY,HOME,DRAW,0,0,1
2019-09-29 14:00:00,Sunday,14:00,2.3,3.51,3.07,1,0,2019/2020,Strasbourg,Montpellier,HOME,HOME,AWAY,1,0,0
2019-09-28 19:00:00,Saturday,19:00,1.67,6.08,3.55,1,1,2019/2020,Angers,Amiens,DRAW,HOME,AWAY,0,0,1
2019-09-28 19:00:00,Saturday,19:00,2.14,3.73,3.25,2,2,2019/2020,Metz,Toulouse,DRAW,HOME,AWAY,0,0,1
2019-09-28 19:00:00,Saturday,19:00,1.41,7.94,4.76,4,1,2019/2020,Monaco,Brest,HOME,HOME,AWAY,1,0,0
2019-09-28 19:00:00,Saturday,19:00,3.08,2.47,3.17,1,1,2019/2020,Nice,Lille,DRAW,AWAY,DRAW,0,1,0
2019-09-28 19:00:00,Saturday,19:00,1.71,5.68,3.52,1,2,2019/2020,Reims,Dijon,AWAY,HOME,AWAY,0,1,0
2019-09-28 16:30:00,Saturday,16:30,7.12,1.42,5.0,0,1,2019/2020,Bordeaux,Paris SG,AWAY,AWAY,HOME,1,0,0
2019-09-28 12:30:00,Saturday,12:30,1.54,6.57,4.12,0,1,2019/2020,Lyon,Nantes,AWAY,HOME,AWAY,0,1,0
2019-09-25 20:00:00,Wednesday,20:00,1.28,11.11,5.68,0,2,2019/2020,Paris SG,Reims,AWAY,HOME,AWAY,0,1,0
2019-09-25 18:00:00,Wednesday,18:00,2.69,2.98,2.98,1,3,2019/2020,Amiens,Bordeaux,AWAY,HOME,AWAY,0,1,0
2019-09-25 18:00:00,Wednesday,18:00,4.51,1.76,3.9,2,2,2019/2020,Brest,Lyon,DRAW,AWAY,HOME,0,0,1
2019-09-25 18:00:00,Wednesday,18:00,1.78,5.09,3.48,2,0,2019/2020,Lille,Strasbourg,HOME,HOME,AWAY,1,0,0
2019-09-25 18:00:00,Wednesday,18:00,2.04,3.94,3.33,1,0,2019/2020,Montpellier,Nimes,HOME,HOME,AWAY,1,0,0
2019-09-25 18:00:00,Wednesday,18:00,2.51,3.22,2.99,1,0,2019/2020,Nantes,Rennes,HOME,HOME,AWAY,1,0,0
2019-09-25 18:00:00,Wednesday,18:00,1.97,4.18,3.37,0,1,2019/2020,St Etienne,Metz,AWAY,HOME,AWAY,0,1,0
